clusterId,bucketIstDay,billCount,obdNumbers,distinctSkusTogether_allMembers,distinctSkusSeparate_allMembers,savingPct_allMembers,cappedMemberCount,distinctSkusTogether_capped4,distinctSkusSeparate_capped4,savingPct_capped4,activeLineCount_allMembers,routes,windows,targetDates
W2-89,2026-07-04,6,9108073745;9108073747;9108073746;9108027158;9108084115;9108055961,1,6,83.3,4,1,4,75.0,6,Adajan;Ghod Dod;Navsari,(none);4,(none);2026-07-04
W2-90,2026-07-29,6,9108585434;9108568724;9108598301;9108538774;9108526626;9108573534,5,11,54.5,4,3,7,57.1,11,Adajan;Navsari;Udhana;Varachha,(none);2;3;4,(none);2026-07-29
W2-91,2026-07-06,6,9107779392;9107779391;9107866668;9108047654;9108086429;9108104919,9,16,43.8,4,8,12,33.3,16,Bharuch;Ghod Dod,(none);1,(none);2026-07-07
W2-92,2026-07-31,6,9108629509;9108630612;9108563761;9108637011;9108592632;9108598981,26,31,16.1,4,17,20,15.0,31,(unknown);Bharuch;Navsari;Vansda,(none);4,(none);2026-07-31;2026-08-01
W2-93,2026-07-31,6,9108595967;9108563763;9108563766;9108563765;9108634335;9108563762,2,8,75.0,4,2,6,66.7,8,Bardoli;Chikhli;Navsari,(none),(none)
W2-94,2026-07-07,6,9108133409;9108133421;9108065339;9108131524;9108131525;9108131522,34,41,17.1,4,33,38,13.2,42,Adajan;Ghod Dod,(none);3,(none);2026-07-07
W2-95,2026-08-01,6,9108651014;9108651013;9108580376;9108580374;9108580373;9108580372,4,9,55.6,4,4,7,42.9,9,Chikhli;Ghod Dod;Udhana;Varachha,(none);4,(none);2026-08-01
W2-96,2026-06-23,5,9107821618;9107821619;9107821620;9107783274;9107783275,1,5,80.0,4,1,4,75.0,5,Bardoli;Chikhli;Navsari,(none),(none)
W2-97,2026-07-16,5,9108276086;9107921985;9108321922;9108249097;9108316541,10,14,28.6,4,10,13,23.1,14,Adajan;Bharuch;Ghod Dod;Navsari;Varachha,1;2;4,2026-07-16;2026-07-17
W2-98,2026-07-16,5,9108231084;9108321921;9108280187;9108316540;9108302428,10,15,33.3,4,10,14,28.6,15,Adajan;Bardoli;Navsari;Parvat;Varachha,(none);2;4,(none);2026-07-16
W2-99,2026-07-16,5,9108273982;9108273981;9108273980;9108273979;9108273978,1,5,80.0,4,1,4,75.0,5,Varachha,(none),(none)
W2-100,2026-07-09,5,9108109037;9108109036;9108152156;9108177520;9108152556,11,16,31.3,4,6,10,40.0,17,Adajan;Ghod Dod;Udhana;Varachha,1;3,2026-07-09;2026-07-12
W2-101,2026-08-03,5,9108623163;9108226952;9108647540;9108611998;9108651633,6,11,45.5,4,5,9,44.4,11,Adajan;Bharuch;Kamrej,(none);1;2;4,(none);2026-08-03
W2-102,2026-08-13,5,9108836768;9108878226;9108872725;9108889618;9108900010,18,23,21.7,4,16,19,15.8,24,Adajan;Ghod Dod;Kamrej;Navsari,(none);3;4,(none);2026-08-13;2026-08-14
W2-103,2026-07-30,5,9108601235;9108576149;9108581058;9108590185;9108568981,9,13,30.8,4,9,12,25.0,13,(unknown);Bharuch;IGT / CROSS;Kamrej,(none);4,(none);2026-07-30
W2-104,2026-06-22,5,9107783898;9107678760;9107699089;9107659447;9107812315,9,13,30.8,4,9,12,25.0,14,Adajan;Ghod Dod,(none),(none)
W2-105,2026-06-22,5,9107827227;9107754471;9107755766;9107824807;9107812664,5,9,44.4,4,5,8,37.5,11,Adajan;Kamrej;Udhana,(none),(none)
W2-106,2026-06-27,5,9106608395;9106608394;9107816284;9107862569;9107913219,26,35,25.7,4,26,34,23.5,35,Adajan;Ghod Dod;No Route;Vapi,(none);1,(none);2026-06-27
