category,product,baseColour,sku_count,example_description
PROMISE,PROMISE INTERIOR,BRILLIANT WHITE,5,DN PROMISE INTERIOR WHITE 10L
PROMISE,PROMISE PRIMER,,1,DN PROMISE PRIMER 1L
PROMISE,PROMISE SHEEN EXTERIOR,93 BASE,4,DN PROMISE SHEEN EXT 93 BASE 0.925LTR
PROMISE,PROMISE SHEEN INTERIOR,93 BASE,4,DN PROMISE SHEEN INT 93 BASE 0.925LTR
PROMISE ENML,PROMISE ENML,BLACK,5,DN PROMISE ENML BLACK 10L
PROMISE ENML,PROMISE ENML,BRILLIANT WHITE,5,DN PROMISE ENML WHITE 10L
PROMISE ENML,PROMISE ENML,BUS GREEN,4,DN PROMISE ENML BUS GREEN 1L
PROMISE ENML,PROMISE ENML,CLASSIC WHITE,5,DN PROMISE ENAMEL CLASSIC WHITE 10L
PROMISE ENML,PROMISE ENML,DARK BROWN,5,DN PROMISE ENML DARK BROWN 10L
PROMISE ENML,PROMISE ENML,GOLDEN BROWN,4,DN PROMISE ENML GOLDEN BROWN 1L
PROMISE ENML,PROMISE ENML,GOLDEN YELLOW,4,DN PROMISE ENML GOLDEN YELLOW 1L
PROMISE ENML,PROMISE ENML,PHIROZA BLUE,4,DN PROMISE ENML PHIROZA BLUE 1L
PROMISE ENML,PROMISE ENML,PO RED,4,DN PROMISE ENML P O RED 1L
PROMISE ENML,PROMISE ENML,SMOKE GREY,5,DN PROMISE ENML SMOKE GREY 10L
PROMISE SHEEN,PROMISE SHEEN EXTERIOR,90 BASE,4,DN PROMISE SHEEN EXTERIOR WHITE BASE 10L
PROMISE SHEEN,PROMISE SHEEN EXTERIOR,92 BASE,4,DN PROMISE SHEEN EXTERIOR 92 BASE 10L
PROMISE SHEEN,PROMISE SHEEN EXTERIOR,94 BASE,4,DN PROMISE SHEEN EXTERIOR 94 BASE 10L
PROMISE SHEEN,PROMISE SHEEN EXTERIOR,BRILLIANT WHITE,4,DN PROMISE SHEEN EXTERIOR BR WHITE 10L
PROMISE SHEEN,PROMISE SHEEN INTERIOR,90 BASE,4,DN PROMISE SHEEN INTERIOR WHITE BASE 10L
PROMISE SHEEN,PROMISE SHEEN INTERIOR,92 BASE,4,DN PROMISE SHEEN INTERIOR 92 BASE 10L
PROMISE SHEEN,PROMISE SHEEN INTERIOR,94 BASE,4,DN PROMISE SHEEN INTERIOR 94 BASE 10L
PROMISE SHEEN,PROMISE SHEEN INTERIOR,BRILLIANT WHITE,4,DN PROMISE SHEEN INTERIOR BR WHITE 10L
PROMISE SHEEN,PROMISE SHEEN INTERIOR,METAL BASE,2,DN PROMISE SHEEN INTERIOR METAL BASE 10L
PROMISE SMARTCHOICE,PROMISE SMARTCHOICE ACRYLIC DISTEMPER,,3,Promise SmartC Acrylic Distemper 10Kg
PROMISE SMARTCHOICE,PROMISE SMARTCHOICE EXT,BRILLIANT WHITE,4,PROMISE SMARTCH EXT BR WHT/WHT BAS 10L
PROMISE SMARTCHOICE,PROMISE SMARTCHOICE EXT PRIMER,,4,DN PROMISE SMARTCHOICE EXT PRIMER 10L
PROMISE SMARTCHOICE,PROMISE SMARTCHOICE INT,BRILLIANT WHITE,4,PROMISE SMARTCH INT BR WHT/WHT BAS 10L
PROMISE SMARTCHOICE,PROMISE SMARTCHOICE INT PRIMER,,4,DN PROMISE SMARTCHOICE INT PRIMER 10L
PU,PU ENAMEL,90 BASE,2,DN PU ENAMEL WHITE BASE 1L
PU,PU ENAMEL,92 BASE,2,DN PU ENAMEL INTERMEDIATE BASE 0.975 L
PU,PU ENAMEL,94 BASE,2,DN PU ENAMEL ACCENT BASE 0.9L
PU,PU ENAMEL,BLACK,4,DN PU ENAMEL BLACK 1L
PU,PU ENAMEL,BRILLIANT WHITE,4,DN PU ENAMEL WHITE 1L
PU,PU ENAMEL,DARK BROWN,4,DN PU ENAMEL DARK BROWN 1L
PU,PU ENAMEL,GOLDEN BROWN,4,DN PU ENAMEL GOLDEN BROWN 1L
PU,PU ENAMEL,PHIROZA,3,DN PU ENAMEL PHIROZA 1L
