Base,Pack (on screen),SAP size,SAP code,On screen now?,Decision,Notes,isPrimary,SKU Description,Cartoon Size,Map To Product
DEEP ORANGE,1L,1L,IN28916272,Yes,KEEP,,Yes,DN GLOSS DEEP ORANGE 1L,6,GLOSS
DEEP ORANGE,4L,4L,IN28916271,Yes,KEEP,,Yes,DN GLOSS DEEP ORANGE 4L,4,GLOSS
DEEP ORANGE,20L,20L,IN28916281,Yes,KEEP,,Yes,DN GLOSS DEEP ORANGE 20L,,GLOSS
GOLDEN BROWN,100ML,100ML,IN28918798,Yes,KEEP,,Yes,DN GLOSS GOLDEN BROWN 100ML,24,GLOSS
GOLDEN BROWN,200ML,200ML,IN28918774,Yes,KEEP,,Yes,DN GLOSS GOLDEN BROWN 200ML,12,GLOSS
GOLDEN BROWN,500ML,500ML,IN28918773,Yes,KEEP,,Yes,DN GLOSS GOLDEN BROWN 500ML,12,GLOSS
GOLDEN BROWN,1L,1L,IN28918772,Yes,KEEP,,Yes,DN GLOSS GOLDEN BROWN 1LT,6,GLOSS
GOLDEN BROWN,4L,4L,IN28918771,Yes,KEEP,,Yes,DN GLOSS GOLDEN BROWN 4LT,4,GLOSS
GOLDEN BROWN,10L,10L,IN28918782,Yes,KEEP,,Yes,DN GLOSS GOLDEN BROWN 10LT,,GLOSS
GOLDEN BROWN,20L,20L,IN28918781,Yes,KEEP,,Yes,DN GLOSS GOLDEN BROWN 20LT,,GLOSS
GOLDEN YELLOW,100ML,100ML,IN28045698,Yes,KEEP,,Yes,DN GLOSS GOLDEN YELLOW 100ML,24,GLOSS
GOLDEN YELLOW,200ML,200ML,IN28045674,Yes,KEEP,,Yes,DN GLOSS GOLDEN YELLOW 200ML,12,GLOSS
GOLDEN YELLOW,500ML,500ML,IN28045673,Yes,KEEP,,Yes,DN GLOSS GOLDEN YELLOW 500ML,12,GLOSS
GOLDEN YELLOW,1L,1L,IN28045672,Yes,KEEP,,Yes,DN GLOSS GOLDEN YELLOW 1L,6,GLOSS
GOLDEN YELLOW,4L,4L,IN28045671,Yes,KEEP,,Yes,DN GLOSS GOLDEN YELLOW 4LT,4,GLOSS
GOLDEN YELLOW,20L,20L,IN28045681,Yes,KEEP,,Yes,DN GLOSS GOLDEN YELLOW 20LT,,GLOSS
GREEN BASE,500ML,500ML,IN28009973,Yes,KEEP,,Yes,DN GLOSS GREEN BASE 500ML,12,GLOSS
GREEN BASE,1L,1L,IN28009972,Yes,KEEP,,Yes,DN GLOSS GREEN BASE 0.9LT,6,GLOSS
GREEN BASE,4L,4L,IN28009971,Yes,KEEP,,Yes,DN GLOSS GREEN BASE 3.6LT,4,GLOSS
GREEN BASE,10L,10L,IN28009982,Yes,KEEP,,Yes,DN GLOSS GREEN BASE 9LT,,GLOSS
GREEN BASE,20L,20L,IN28009981,Yes,KEEP,,Yes,DN GLOSS GREEN BASE 18LT,,GLOSS
LEAF BROWN,500ML,500ML,IN28919873,Yes,KEEP,,Yes,DN GLOSS LEAF BROWN 500ML,12,GLOSS
LEAF BROWN,1L,1L,IN28919872,Yes,KEEP,,Yes,DN GLOSS LEAF BROWN 1LT,6,GLOSS
LEAF BROWN,4L,4L,IN28919871,Yes,KEEP,,Yes,DN GLOSS LEAF BROWN 4LT,4,GLOSS
LIGHT GREY,500ML,500ML,IN28010473,Yes,KEEP,,Yes,DN GLOSS LIGHT GREY 1L,12,GLOSS
LIGHT GREY,1L,1L,IN28010472,Yes,KEEP,,Yes,DN GLOSS LIGHT GREY 1L,6,GLOSS
LIGHT GREY,4L,4L,IN28010471,Yes,KEEP,,Yes,DN GLOSS LIGHT GREY 4LT,4,GLOSS
MAHOGANY,500ML,500ML,IN28924873,Yes,KEEP,,Yes,DN GLOSS MAHOGANY 500ML,12,GLOSS
MAHOGANY,1L,1L,IN28924872,Yes,KEEP,,Yes,DN GLOSS MAHOGANY 1LT,6,GLOSS
MAHOGANY,4L,4L,IN28924871,Yes,KEEP,,Yes,DN GLOSS MAHOGANY 4L,4,GLOSS
MIDDLE BUFF,500ML,500ML,IN28915973,Yes,KEEP,,Yes,DN GLOSS MIDDLE BUFF 500ML,12,GLOSS
MIDDLE BUFF,1L,1L,IN28915972,Yes,KEEP,,Yes,DN GLOSS MIDDLE BUFF 1L,6,GLOSS
MIDDLE BUFF,4L,4L,IN28915971,Yes,KEEP,,Yes,DN GLOSS MIDDLE BUFF 4LT,4,GLOSS
MINT GREEN,100ML,100ML,IN28919598,Yes,KEEP,,Yes,DN GLOSS MINT GREEN 100ML,24,GLOSS
MINT GREEN,200ML,200ML,IN28919574,Yes,KEEP,,Yes,DN GLOSS MINT GREEN 200ML,12,GLOSS
MINT GREEN,500ML,500ML,IN28919573,Yes,KEEP,,Yes,DN GLOSS MINT GREEN 500ML,12,GLOSS
MINT GREEN,1L,1L,IN28919572,Yes,KEEP,,Yes,DN GLOSS MINT GREEN 1LT,6,GLOSS
MINT GREEN,4L,4L,IN28919571,Yes,KEEP,,Yes,DN GLOSS MINT GREEN 4LT,4,GLOSS
MINT GREEN,20L,20L,IN28919581,Yes,KEEP,,Yes,DN GLOSS MINT GREEN 20L,,GLOSS
OFF WHITE,500ML,500ML,IN28100473,Yes,KEEP,,Yes,DN GLOSS OFF WHITE 500ML,12,GLOSS
OFF WHITE,1L,1L,IN28100472,Yes,KEEP,,Yes,DN GLOSS OFF WHITE 1LT,6,GLOSS
OFF WHITE,4L,4L,IN28100471,Yes,KEEP,,Yes,DN GLOSS OFF WHITE 4L,4,GLOSS
OPALINE GREEN,1L,1L,IN28027572,Yes,KEEP,,Yes,DN GLOSS OPALINE GREEN 1LT,6,GLOSS
OXFORD BLUE,100ML,100ML,IN28011398,Yes,KEEP,,Yes,DN GLOSS OXFORD BLUE 100ML,24,GLOSS
OXFORD BLUE,200ML,200ML,IN28011374,Yes,KEEP,,Yes,DN GLOSS OXFORD BLUE 200ML,12,GLOSS
OXFORD BLUE,500ML,500ML,IN28011373,Yes,KEEP,,Yes,DN GLOSS OXFORD BLUE 500ML,12,GLOSS
OXFORD BLUE,1L,1L,IN28011372,Yes,KEEP,,Yes,DN GLOSS OXFORD BLUE 1LT,6,GLOSS
OXFORD BLUE,4L,4L,IN28011371,Yes,KEEP,,Yes,DN GLOSS OXFORD BLUE 4LT,4,GLOSS
OXFORD BLUE,20L,20L,IN28011381,Yes,KEEP,,Yes,DN GLOSS OXFORD BLUE 20LT,,GLOSS
PALE CREAM,500ML,500ML,IN28010273,Yes,KEEP,,Yes,DN GLOSS PALE CREAM 500ML,12,GLOSS
PALE CREAM,1L,1L,IN28010272,Yes,KEEP,,Yes,DN GLOSS PALE CREAM 1LT,6,GLOSS
