--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Delivery  |ShPt  |SLoc|Dv|Sold-To Pt|Name of sold-to party |Ship-To|Name of the ship-to party|Ref. Doc. |DlvTy|ItCa|Item|Material  |Description                             |Delivery qty|     Volume| Net weight| Total Wght|Batch     |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN |  20|IN29320271|DN PROMISE ENML WHITE 4L                |          0 |         0 |         0 |         0 |          |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN |  30|IN29312273|DN PROMISE ENML BLACK 500ML             |          0 |         0 |         0 |         0 |          |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN |  40|IN29316272|DN PROMISE ENML SMOKE GREY 1L           |          0 |         0 |         0 |         0 |          |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN |  50|5580412   |Promise SmartCh Int Br Wht/Wht Bas 1L   |          0 |         0 |         0 |         0 |          |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN |  60|5579819   |Promise SmartCh Int Br Wht/Wht Bas 4L   |          0 |         0 |         0 |         0 |          |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN |  70|5540669   |DN Zinc Yellow Metal Primer 1L          |          6 |         6 |     7.560 |     8.268 |          |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN |  80|IN34220072|DN SB CEMENT PRIMER 1L                  |          0 |         0 |         0 |         0 |          |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN | 001|IN29320272|DN PROMISE ENML WHITE 1L                |         12 |        12 |    12.360 |    13.860 |C20260901 |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN | 002|IN29320271|DN PROMISE ENML WHITE 4L                |          4 |        16 |    16.480 |    17.884 |C20260801 |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN | 003|IN29312273|DN PROMISE ENML BLACK 500ML             |         12 |         6 |     5.520 |     6.480 |C20260701 |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN | 004|IN29316272|DN PROMISE ENML SMOKE GREY 1L           |          6 |         6 |     5.700 |     6.450 |C20260601 |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN | 005|5580412   |Promise SmartCh Int Br Wht/Wht Bas 1L   |          9 |         9 |    12.600 |    13.500 |T20260801 |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN | 006|5579819   |Promise SmartCh Int Br Wht/Wht Bas 4L   |          2 |         8 |    11.200 |    11.880 |T20260701 |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN | 007|IN34220072|DN SB CEMENT PRIMER 1L                  |          6 |         6 |     7.500 |     8.250 |C20260601 |
|  9109298595|IN53  |2000|70|110307    |AMBIKA COLOUR WORLD   |110307 |AMBIKA COLOUR WORLD      |1046790187|LF   |TAN |  10|5841676   |DPP-Sadolin 2KPU Matt BAS90 WHT 1L      |          0 |         0 |         0 |         0 |          |
|  9109298595|IN53  |2000|70|110307    |AMBIKA COLOUR WORLD   |110307 |AMBIKA COLOUR WORLD      |1046790187|LF   |TAN |  20|5841677   |DPP-Sadolin 2KPU Matt BAS90 WHT 4L      |          0 |         0 |         0 |         0 |          |
|  9109298595|IN53  |2000|70|110307    |AMBIKA COLOUR WORLD   |110307 |AMBIKA COLOUR WORLD      |1046790187|LF   |TAN | 001|5841676   |DPP-Sadolin 2KPU Matt BAS90 WHT 1L      |          6 |         6 |     7.500 |    14.100 |C20260701 |
|  9109298595|IN53  |2000|70|110307    |AMBIKA COLOUR WORLD   |110307 |AMBIKA COLOUR WORLD      |1046790187|LF   |TAN | 002|5841677   |DPP-Sadolin 2KPU Matt BAS90 WHT 4L      |          1 |         4 |         5 |     6.100 |C20260701 |
|  9109298596|IN53  |2000|70|642132    |NAKODA COLOURS AND HA |642132 |NAKODA COLOURS AND HARDW |1046790199|LF   |TAN |  10|5841502   |DN SADOLIN PU Prime 93 Base Gloss 1L    |          6 |         6 |     6.060 |     6.060 |          |
|  9109298597|IN53  |2000|70|110327    |AMBIKA OCEAN          |110327 |AMBIKA OCEAN             |1046790201|LF   |TAN |  10|5540668   |DN Zinc Yellow Metal Primer 500ml       |          6 |         3 |     3.780 |     4.248 |          |
